,City,Country,Date,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloudiness
355,pudozh,RU,1588135012,33.37,61.81,36.53,88,9.26,64
356,mafinga,TZ,1588135012,68.22,-7.25,35.07,61,1.72,93
357,bilma,NE,1588135012,86.04,18.69,12.92,12,5.77,12
358,bahia blanca,AR,1588135013,55.71,-38.72,-62.27,61,11.88,24
359,tautira,PF,1588135014,84.09,-17.73,-149.15,74,11.41,96
360,beckley,US,1588135005,56.1,37.78,-81.19,58,8.05,1
361,sabinas hidalgo,MX,1588135014,75.24,26.5,-100.17,50,9.01,96
362,matay,EG,1588135015,62.76,28.42,30.78,58,13.69,57
363,lubango,AO,1588135015,58.21,-14.92,13.49,38,3.15,3
364,dodge city,US,1588134740,54.79,37.75,-100.02,58,8.05,1
365,hami,CN,1588135016,88.65,42.8,93.45,7,6.53,0
366,provideniya,RU,1588135016,28.4,64.38,-173.3,68,2.24,90
367,padang,ID,1588135017,87.3,-0.95,100.35,59,5.39,16
368,superior,US,1588134999,39.36,46.72,-92.1,93,18.34,90
369,garden city,US,1588135017,54.25,42.33,-83.33,81,6.93,90
370,goba,ET,1588135018,58.15,7.02,39.98,35,1.63,83
371,gusau,NG,1588135019,82.06,12.16,6.66,42,12.88,0
372,ust-uda,RU,1588135019,68.83,54.17,103.03,31,6.4,82
373,ambo,PE,1588135019,57.04,-10.13,-76.2,35,0.69,29
374,iisalmi,FI,1588135020,30.2,63.56,27.19,74,8.05,90
375,tuscaloosa,US,1588134787,69.89,33.21,-87.57,56,11.41,1
376,christchurch,NZ,1588134920,61.52,-43.53,172.63,55,3.36,3
377,cabano,PH,1588135022,87.96,10.59,122.7,60,20.6,91
378,carberry,CA,1588135023,41.0,49.87,-99.36,93,4.7,90
379,ygatimi,PY,1588135024,72.23,-24.08,-55.5,63,5.14,60
380,maumelle,US,1588135024,60.44,34.87,-92.4,91,5.82,64
381,svetlaya,RU,1588135025,54.48,46.54,138.33,43,3.27,37
382,blagoyevo,RU,1588135025,34.97,63.37,47.92,91,4.81,100
383,porto novo,BJ,1588135026,82.4,6.5,2.6,83,8.05,20
384,sioux lookout,CA,1588135026,41.0,50.1,-91.92,86,6.93,90
